SampleID	ZJTKAE3	ZJXC41N	ZK112BX	ZK4CK8Y	ZKFV71L	ZKVR426	ZL63I8R	ZL9BTWF	ZLGD9M0	ZLPRB8E	ZLPZS0H	ZLTUJTN	ZLYEM2C	ZLZNCLZ	ZLZQMEV	ZM7JY3G	ZM8YXDM	ZMBH10Z	ZMBVNFM	ZMS5W76	ZN0JE53	ZN3TBJM	ZN9YTFN	ZNDMXI3	ZOZOW1T	ZPDABJR	ZPEL6L3	ZPF36E2	ZPMBHPS	ZQFL1P3	ZQMVU4Q	ZR47VBL	ZRB0F6P	ZRLZ98T	ZTJ7L7Z	ZTLIFAS	ZTMFN3O	ZTTL3YH	ZTUO1AO	ZTXY83G	ZUL3S6O	ZUPAQVU	ZV14SIB	ZVBQY1N	ZVC4YUG	ZVGW5FI	ZVM4N7A	ZVNCGHM	ZVTCAK9	ZW61YGW	ZWCZHHY	ZWFDEY0	ZWHMV5E	ZWLGEWL	ZX52KVK	ZXSO14L	ZY1ZKJY	ZY7IW45	ZY9XQJP	ZYXQKWY
pRPLC_647.5116_11.7	358147.8286	292330.6467	379518.2842	404554.9	332637.7733	294952.7283	230066.9767	123347.5619	211210.275	489230.5	127147.671	201016.84	207076.69	193309.6296	368934.8923	101443.9055	157343.2125	442151.5286	219000.7255	381808.6	312815.525	693067.9225	515339.0563	171093.6083	256665.0526	239894.6167	396209.6833	289836.2625	263904	1257113.525	241944.3333	255871.65	235720.035	202319.1667	539096.8	186208.72	292202.3111	150131	128286.935	310224.4857	448082.3636	352362.9778	153705.2083	246925.8067	366029.18	315575.7	563725.4444	194221.995	248628.5667	63067.23375	229698.6222	278469.0888	456606.06	363743.1186	627979.5793	564397.7	481940.5071	517748.375	402726.7286	640151.4571
pRPLC_580.4347_11.8	4901.147357	50939.10687	14075.78506	17879.94144	11399.0952	10737.94091	18349.19896	15601.41587	15412.80208	18361.06246	14162.31177	11977.2998	12027.0598	42960.20978	35182.50892	26925.38395	2798.192538	7144.145471	43532.77865	92797.06	26518.49531	34005.71041	45459.91113	5003.722833	32030.74806	14648.9987	11606.555	17288.32325	4251.0525	10219.9	21701.572	17637.357	5203.22485	2658.9405	12666.18888	9307.42786	21431.47404	2474.9025	7973.7525	17105.0318	24419.19282	84897.53778	19992.9365	28970.15268	14200.052	28251.01867	51085.04144	79284.48429	5771.196333	15328.369	16935.05822	11853.09651	16209.2592	30234.74443	102011.1941	7153.32	41017.78971	74183.50745	7356.754857	20127.77729
pRPLC_675.5429_12.6	7643027.5	6350749.4	9569521.737	8286458.556	7807607.6	5777220.333	7101121.111	4485757.875	5375413.167	7468412.6	4258056.714	5720142.957	5862112.8	5605068.13	7372911.692	4269717.25	4563966.375	7176466.143	6584474.955	7863331	8072415.875	14616162.88	9007035.625	4590456.333	7332482.544	5459435.5	9285789.667	7951479.5	6361508.5	9992077.25	7111905.667	6887923.75	3952216.498	4464322.667	14771649.5	4077350	7640691.111	6204957	4861922.5	5651984.429	9515528.727	9846271.333	4998643.5	6710589.067	6447440.8	6860846.333	10715045.56	8175429.214	4820744.667	3289782.875	5892424.222	8306588.625	9090217.2	5945298.143	13398494.24	11077930	13331578.93	10389527.33	8988771.714	12113099.29
nRPLC_391.2856_9.2	426141.3857	74426.73867	132617.8079	51956.77	78642.55733	156132.7233	203253.9328	168833.925	344479.4833	32451.0209	95564.71357	129924.253	153649.171	1030689.74	86439.50923	188704.8808	117345.79	60136.63571	155658.0509	227038.3	1044712.75	162912.1148	81148.7225	1611800.167	211543.6911	108581.1717	86560.16667	655515.9	31885.789	58115.6	1815006.9	691599.925	167346.9138	130256	82898.28833	197676.96	857303.3044	319985.95	59695.19	464605	149073.7545	261824.8333	181247.6783	995686.8553	639023.8	1631329.367	134626.4633	162583.4179	380641.4333	4971484.25	2684481.739	221807.8775	210545.78	65539.04571	87333.55483	143500.4	96593.27929	1829773.658	145725.3043	156263.2714
nRPLC_365.2333_9.7	159130.8143	164043.44	157165.1053	146364.2333	149322.46	153650.8292	160841.3556	150748.7313	146589.9833	157513.85	139903.7214	153938.5	147029.7	170443.4783	155549.7308	156362.9583	154318.65	162722.0714	146901.3591	168227.4	169960.95	162145.035	147777.4313	153926.4833	193322.4439	144040.55	160769.3667	167597.625	155578.85	158025.375	170477.3	166442.725	148187.3	178943.7333	155648.5667	152456.48	144695.4	163678.95	149998.55	151538.3429	152296.4727	168023.4667	166191.0833	165083.1867	153442.76	160169.3667	159196.6444	161728.3643	146438.9333	159545.5375	162326.1889	184632.7375	155942.92	148044.7	141129.0138	163146.3	173728.15	155912.2	161181.6857	202777.2429
nRPLC_391.2856_9.8	488533.4	348625.26	427011.1053	129032.7067	137262.74	952369.5375	414101.3278	817434.4688	983639.45	100639.128	306920.5214	511236.1061	366826.06	838061.4348	225775.2154	356992.1083	196756.9875	306686.0871	773975.9273	508517.8	1146505.093	1184389.533	412416.05	785836.6333	920077.9149	731178.1	263970.2167	170956.9875	33699.24	695736.8125	570648.9667	383419.875	610898.5985	924261.1	571798.1167	384765.2	417282.1222	276490.25	190789.4	1197175.429	662270.4727	994868.6711	372814.095	350126.02	85376.332	649361.4333	495176.1667	343051.75	319027.7667	559563.6375	683717.6089	330840.8875	252123.36	355424.4429	706612.1828	400752.4	412594.1429	1792733.025	498078.2143	1053082.714
nRPLC_263.1289_6.8	31607.32993	2803.671632	36651.05795	87089.46444	13378.61697	60780.59479	89409.39117	106325.9297	62638.5075	66153.374	53449.08143	109843.7716	3844.2339	3788.312113	12309.54926	99528.44333	51029.2425	171395.2286	7875.188805	171652.1	2626.90613	1627.012096	3570.401606	114407.1517	139131.9163	53371.02	78476.84333	23779.06425	92944.715	99081.9375	90365.66333	38843.41975	116439.9078	24131.94333	48874.29833	53292.2316	29435.48222	180811.66	94838.53	51518.80686	2480.634036	9937.975	22885.7375	2099.99282	8854.2877	349.5976667	11295.80534	3964.167936	36794.62667	149379.37	60071.50156	13751.693	18290.5806	11543.05543	5043.785662	26178.62	7357.383221	11392.55325	47609.13871	9965.462171
nRPLC_187.134_7.5	130753.5371	169143.9667	70636.33947	160300.4733	121513.17	65752.525	170514.0939	166880.5081	152468.6608	165762.665	116274.7071	71339.53609	116270.592	271331.8622	161697.5262	241785.8667	228913.0525	157992.0971	333647.0091	144394.3	236922.575	295036.205	133301.9494	111413.2817	274383.2911	249588.3533	140626.3	97344.87	196488.6	149348.35	100905.01	87918.8425	144698.8765	68008.79	132122.835	218267.12	169444.81	130059.25	186811.82	107467.1229	118924.9709	202077.3667	274893.3833	206383.39	140881.754	195648.8667	148167.1367	392858.4814	328469.7	124719.6213	247862.6378	165665.6875	179165.194	132124.81	235177.6207	122696.3	150444.8979	142195.345	124515.0529	142768.1571
nRPLC_448.3067_8.6	608959.7107	174955.2767	115190.6563	44530.26878	61648.228	249949.6663	154148.4556	60144.60688	173252.2142	27185.0038	68515.12857	46266.60113	71183.58	972518.0283	31079.13914	114363.7325	51967.9735	109470.81	128601.3109	289615.9	1748086.469	335523.7305	86737.33225	1135486.417	216751.8439	126371.3733	73498.94833	515833.75	111242.195	146518.665	261827.0733	650544.35	137037.2984	51649.79	410983.65	141632.806	2404507.778	538602.555	54880.185	430771.6571	118000.7809	479555.9778	76438.79167	570925.6067	332788.4	441402.8333	372003.2189	130108.1629	323495.2	638115.05	952033.9444	305956.2188	46899.432	21091.088	132841.9755	81890.71	192461.6379	3533818.167	138581.8314	166327.1543
nRPLC_257.1759_8.8	88659.10857	126375.322	94259.47842	124834.5389	78858.81467	70808.81708	101319.3678	104972.3019	76073.3875	79642.914	54592.47143	69161.37304	62605.271	103725.2174	64842.24769	67030.45333	71222.02875	139266.5157	94482.38273	66645.26	167322.675	144153.6655	66758.37	57609.23667	111925.9177	114138.3467	123995.8667	96734.035	93349.97	87139.3875	179277.5	202527.3	141571.9295	75511.42333	162865.2167	58860.41	73212.25444	113338.05	99693.22	103112.7986	66933.08727	141510.4222	70622.25667	117144.0327	72343.59	60366.53	149315.44	68043.13	72642.64	67963.21625	68105.00667	88962.5025	62065.166	46492.75714	65471.09034	101033.1	107213.865	180407.5833	121268.8129	86148.22429
