	ZJTKAE3	ZJXC41N	ZK112BX	ZK4CK8Y	ZKFV71L	ZKVR426 	ZL63I8R 	ZL9BTWF	ZLGD9M0	ZLPRB8E 	ZLPZS0H	ZLTUJTN	ZLYEM2C	ZLZNCLZ	ZLZQMEV	ZM7JY3G	ZM8YXDM	ZMBH10Z	ZMBVNFM	ZMS5W76	ZN0JE53	ZN3TBJM	ZN9YTFN	ZNDMXI3	ZOZOW1T	ZPDABJR 	ZPEL6L3	ZPF36E2	ZPMBHPS	ZQFL1P3 	ZQMVU4Q	ZR47VBL	ZRB0F6P 	ZRLZ98T	ZTJ7L7Z 	ZTLIFAS	ZTMFN3O	ZTTL3YH	ZTUO1AO	ZTXY83G	ZUL3S6O	ZUPAQVU	ZV14SIB	ZVBQY1N	ZVC4YUG	ZVGW5FI	ZVM4N7A	ZVNCGHM	ZVTCAK9	ZW61YGW 	ZWCZHHY 	ZWFDEY0 	ZWHMV5E	ZWLGEWL	ZX52KVK	ZXSO14L	ZY1ZKJY	ZY7IW45	ZY9XQJP	ZYXQKWY
IGHG4	2.933360583	-4.27887524	1.348310779	0.429303357	1.232744073	1.399597058	2.838146611	0.232333815	1.7222102	1.27444636	3.241142308	-2.597645033	2.875105	1.399271243	-0.380485941	3.047166667	1.3078054	1.787373286	-1.02545852	-0.05923557	2.284538743	2.541896095	2.649750063	2.144680143	3.243815569	3.328324143	3.187319667	1.95560025	2.154168	2.7760986	3.447911667	2.8717255	3.38586825	-0.185670833	-0.781090588	0.91340832	2.847395444	2.1661725	-1.05119435	0.979912833	2.099679917	0.255793856	2.946487	2.364654347	2.968594333	4.079035	-0.606321256	1.810122457	0.02398888	2.421657125	0.844318822	2.653401375	1.13832876	1.967040586	3.955830607	1.307208	1.953735225	0.281885062	-0.481957733	0.940165314
IGHM	4.8997425	5.743275467	5.773971105	5.253103	3.307732267	6.764725292	4.971326167	4.741494944	4.724270091	6.1051947	5.973119923	4.734778083	4.1788389	3.981819478	4.517351077	4.262573833	5.614513	4.495067143	5.032562917	5.032053	5.180952994	3.984614286	3.260396875	5.599606857	4.959355862	4.204623143	4.504847333	5.73238125	5.435323	5.0959116	5.054144333	4.507391	5.01016175	5.033545667	4.457109	5.535574	6.627947333	4.5299365	4.126273	3.2459175	4.287036417	4.998524	5.248678333	5.469191733	4.318870833	3.984499	5.621257333	5.054207	3.178693	5.620666125	5.661759667	4.8660565	4.8057746	5.190485	5.1347675	4.473814	5.3589006	5.23723925	3.912159111	5.274721
IGHA1	6.320993833	6.330253533	4.835302105	5.190909	5.7165914	5.977383625	5.931050167	3.416391444	6.019171182	5.977394	6.172815	5.227634	6.2570669	5.866758652	5.69566	6.33263125	5.826387	6.060438857	5.499180083	6.526471	5.716863894	7.053413048	5.846843563	6.662506857	5.016544415	6.901637714	5.671025833	5.3686045	5.89115	6.139033	6.883735667	6.0325675	6.981892	5.905674333	5.205859	5.512609	6.224342444	5.679614	6.1584345	5.532050333	6.866624667	5.797706556	7.469370333	5.830796667	6.394297167	6.538691333	6.395991889	6.448663929	5.637194	5.974293375	6.658434	5.858157625	4.7020662	5.561386857	5.534477036	5.8254	6.444725467	5.33205475	4.923013	5.826851
IGHA2	0.461340117	0.715898389	-3.378597032	-0.705862433	0.135063974	0.288492132	-0.096207728	-0.428623128	0.375003427	0.89068663	2.562043154	0.443319277	1.48487303	0.847338646	1.473598077	0.865089258	1.955681913	1.597332414	2.772318333	2.145094	1.355527805	1.226792845	0.019126526	-2.261439286	1.524410509	2.082545314	0.566362822	0.6227358	1.508237	1.06147329	1.945103133	-3.12311025	3.183257	1.595134333	1.98494	2.1155362	2.309749333	-0.12853246	0.90172415	1.336851	1.572169467	0.938091956	1.534511	1.41920518	2.9680855	1.003002397	1.550178933	1.225026932	0.477522	1.408998475	1.764665333	-0.784892138	0.6792966	1.698744	0.118551526	1.658601	0.459340993	-0.743856751	0.691390633	0.9646855
IGHD	-5.354581667	-1.198517899	-0.285588318	-1.735408922	7.038657267	-3.454056394	-0.664764158	-0.714149511	1.581706145	-3.3904431	0.991658846	-2.439820525	2.08568106	-3.227435043	-5.060536308	-0.896690375	0.421367138	-0.019591134	0.232394285	-5.173885	-2.129242978	-1.288049049	-1.102845881	2.509607857	-4.858584586	0.076948376	0.86583515	-1.6830901	-1.226761	-5.0481428	0.5697592	-1.272799325	-3.492160825	1.422842	-1.380303738	-0.880994	0.36311189	-6.75509	1.2663605	0.821224283	-2.876142542	1.725336	0.721113567	-2.1271404	1.504517823	-4.869337667	-0.475639778	0.294176336	-0.206411467	-4.73188825	-6.959230333	-1.905557183	-5.7587064	1.5724161	-0.907804773	-5.838069	2.406867353	-1.815254442	-5.682453067	-0.216203714
HBD	-3.16440725	-3.221058333	-2.989397737	-3.130250111	-3.143668333	-3.470933208	-2.796744389	-2.746270833	-2.952094	-2.2650852	-2.763707685	-3.111457167	-2.41785471	-2.323166239	-3.104012308	-2.926470833	-2.526849875	-3.566214286	-2.728003771	-2.917732	-3.461777901	-3.527910738	-2.85274325	-4.026692	-2.822975231	-2.60247	-3.006337333	-2.914172	-5.441615	-3.8817962	-2.815282	-2.35832225	-3.19369025	-1.891364333	-2.460747375	-2.788653	-3.644553444	-2.2917405	-3.388707	-2.4450635	-2.639705292	-2.797269444	-3.075555333	-2.790229753	-3.043290217	-2.996237333	-3.133642556	-2.7313953	-1.835819333	-2.67662	-2.720837556	-3.298236375	-3.7409358	-3.485330571	-3.152475239	-3.233293	-3.552517333	-3.431217583	-3.310503556	-3.333112571
APOA1	8.4305685	8.571081267	8.045905632	9.179803778	8.48312	8.054270917	8.127737833	8.484507333	7.990610909	8.4312899	7.952057077	7.891426083	7.8821981	8.330449783	8.586777692	8.332454083	8.22616875	8.061887429	8.902034917	6.26354	8.480583812	8.182926476	8.3182395	8.263424857	8.6359934	8.714113143	8.134273833	8.22024775	8.096617	8.7497184	8.930486333	8.123487	8.38958075	8.947852333	8.31864225	9.1104602	8.815247667	8.116288	8.559448	8.364973	8.406160333	8.109124778	9.583144	8.3543958	7.730790667	8.299128667	7.929178111	8.168389071	9.210126333	8.211656	9.132492111	8.483724125	8.0496388	8.143819429	8.564798929	8.103684	8.667016333	8.3889825	8.937684111	8.221803
APOE	5.204103417	4.399630333	4.753155421	4.009696778	6.079606333	4.538755417	4.535611944	4.522033333	4.369259636	4.2767011	4.381258692	4.269474125	4.253323	4.661745435	4.658775692	4.87529125	3.891790375	3.746626429	4.650885375	3.980563	4.899045519	4.21084819	4.69362425	4.052610286	4.433778662	3.857541143	4.194256333	5.189496	3.644419	4.1410964	3.924459	4.48511425	4.31000225	4.745981667	4.852011125	4.2896918	4.888861222	5.777313	4.048625	5.231072	4.220735167	4.285564222	4.299857167	4.551537333	4.2210805	4.335226333	4.178010111	3.878605929	3.694965333	3.989888875	4.435499	4.27257975	4.5340596	3.918894714	4.175243	4.143442	5.560533867	4.064631833	4.664227222	4.699106571
APOA2	3.945462583	4.5649178	4.388082632	4.178975778	4.356591467	4.537548083	4.170005556	4.483859444	3.901320455	4.072128	3.999145923	4.061282542	3.7244209	4.595093478	3.881613	4.705129583	3.756527625	4.327870286	5.018895083	3.306189	4.416923375	3.973529405	3.855239375	4.372605714	4.593804015	4.544677286	3.990576667	4.485753	4.099525	4.7158982	4.744701333	4.54971675	4.2020955	5.005596333	4.352473875	4.2735388	4.150222333	4.039782	4.054499	4.751749167	4.426050417	4.124167444	5.120086167	4.6535564	3.9477485	4.711998667	4.528461333	3.915452071	4.464741667	4.639144375	4.545407778	4.451392375	4.4105998	3.766995	4.818301321	4.335692	4.688275333	4.03520975	4.720309333	4.123085286
APOC1	1.004077525	0.894432179	0.976043023	0.913505744	1.404904707	1.2193402	1.289256767	1.794997783	1.68494556	0.564077294	1.675262523	1.467505188	1.83223643	1.355705692	1.071161323	1.946867033	1.473491738	0.508063191	1.450339163	3.21641	1.599234419	1.261457157	1.534523038	0.461662443	1.886276529	1.144249814	1.2738102	1.99201425	1.467065	1.6531444	0.7546807	1.59023575	1.395560825	2.436205	2.605196625	2.2612194	1.140902956	1.6459315	0.48941585	1.932850317	1.894003117	1.7883343	1.580300333	1.523843886	0.5304072	0.408995967	1.508505254	1.111795078	2.129311093	0.917448781	1.263373489	0.943304613	0.8663291	0.984352114	1.892078011	0.6382725	1.472280167	1.220704183	1.386591467	1.7803236
APOC2	2.55834225	1.696040223	1.526979921	1.151005956	1.894858867	1.887586271	1.586635617	2.429191779	1.811440282	1.252595	1.352949369	2.862124583	1.7800042	2.465209622	1.964128692	2.572891817	2.004858625	2.222880286	2.625717092	0.8475287	2.650583382	1.556755588	2.063323313	1.629921286	2.063187446	1.348578586	0.605534117	2.888521	1.870587	1.7659656	2.259662667	2.55956975	2.2230065	2.831100667	3.5199635	2.874684	1.817182578	2.893998	1.6761315	3.161575	3.701048	2.048492967	2.374849333	2.764751	1.101069717	2.687729667	2.320648189	1.229987479	2.135723667	1.9320175	2.348043778	1.9633225	2.7120412	1.0882487	3.113020286	1.691202	2.750598273	1.744627867	2.347903667	1.987443656
APOC3	4.150675	4.722064867	4.743841421	5.049624333	4.590069533	5.001891292	4.712922556	5.286740056	4.687592818	3.7411893	4.958935462	5.054847708	4.1933741	4.777027	4.492797	4.88667025	4.342867875	4.003372429	5.149339167	3.947348	5.060781209	4.622168548	4.823402375	4.109660857	4.4618264	4.625837	4.334608	5.09979625	4.32504	5.1026884	5.485006	5.2111175	4.61033525	5.814885667	5.701845875	4.3978482	4.704023111	4.9853035	4.691905	5.782074333	5.149603083	4.384145333	3.200219333	5.170186867	3.757322667	4.939517667	4.915662222	4.359516643	4.772618667	4.5849595	4.785393444	4.178537625	5.071814	3.747878143	5.247532571	5.246559	5.253533067	4.059198083	5.078653222	4.754741
FGA	9.417722917	9.4742016	9.173832947	9.044686778	9.3436858	9.20446675	9.270749944	9.1577345	9.089102182	9.1359455	8.756362538	9.469591792	8.7810105	9.379342739	9.131360692	9.003141667	8.899328875	8.929502857	9.337334625	9.206558	9.177120332	9.197335214	9.069479063	9.434744857	9.186202508	9.750559714	9.034532	9.3466175	9.429188	9.7420024	8.959256667	9.16261775	9.224464	9.230241333	9.52567775	9.32393	9.26066	9.1925465	8.4888615	9.2948915	8.934148167	8.863564556	9.222532	9.311174133	9.29977	9.023445	8.892528333	8.981940429	9.196351	8.895685625	8.782862889	9.59748	8.840155	9.413905	9.010698571	8.196654	9.286533467	9.111038833	9.563085556	9.320950857
FGB	9.245061583	9.116323867	8.914155	8.857929222	9.129989067	9.027333167	9.078312333	8.951049333	8.910728182	8.9232086	8.624881615	9.294937875	8.5922031	9.068972696	8.993504692	8.747879583	8.9174375	8.854973857	9.032340708	8.964978	9.032976292	9.059453286	8.942078688	9.216789429	9.022759431	9.449814143	8.740379	9.0750895	9.393388	9.4209318	8.624593333	8.90367375	8.94040375	8.828439	9.260505625	9.317428	8.979827444	9.027925	8.37435	9.0406535	8.7048435	8.751370889	8.766878333	9.0884014	9.150290167	8.810285333	8.839227667	8.786353786	8.875302	8.682178	8.556490222	9.343908125	8.8643212	9.195619286	8.765591714	8.051723	9.029153467	8.898121167	9.30816	8.3226404
FGG	8.16810175	8.085344533	7.984008684	7.862407889	8.128485067	8.046071917	8.161200722	7.977964283	7.991715091	7.9315769	7.659349	8.229302542	7.6047072	8.016040609	7.737264692	7.782224167	7.872674625	8.108274857	8.191483875	8.511463	8.02947514	8.136162119	7.841606563	8.447598429	8.051073692	8.538652	7.957985167	8.074528	8.7661	8.35814	7.636317667	7.766093	7.7932065	7.710919667	8.309020125	8.2599808	8.174537111	7.798783	7.272358	8.150757167	7.508798	7.491052333	7.752904667	8.0944234	8.3854405	7.805924	7.865689444	7.943657929	8.047969667	7.79236525	7.516442333	8.450412	8.145335	8.181623857	7.75819425	7.013173	8.137487267	7.74210675	8.389022778	7.460316844
APCS	-2.067794667	-2.5545794	-2.365625842	-1.719860778	-1.619855087	-2.201757792	-1.752319433	-1.408717236	-1.567782827	-2.3420705	-2.097290062	-1.556950571	-1.78851119	-1.114475727	-1.688155377	-1.673044275	-1.8786599	-1.7192062	-2.001455704	-2.07401	-1.952227191	-1.860950972	-1.686402869	-1.789300729	-1.467330055	-0.709034697	-2.2364395	-1.6095975	-1.597803	-1.5181032	-1.358953833	-1.66555473	-1.542796725	-1.307108333	-1.031954925	-1.43650552	-2.992337889	-1.0389541	-1.653806	-0.826585017	-1.173247717	-1.845140044	-1.746703383	-1.696495853	-1.710446333	-2.265452667	-2.388881056	-2.644277975	-1.745925333	-1.203931313	-1.063951467	-1.724068838	-2.193282	-1.355685829	-2.229142231	-1.994345	-2.1665447	-2.94212075	-1.401473157	-1.439208957
C1QA	2.190819667	2.281582733	2.494333263	1.947455111	2.3101624	2.417157625	2.228976444	2.108952261	2.274264818	1.7526216	2.324682385	2.317459083	2.0451459	2.409174217	1.947577692	2.232255417	1.27501525	2.085948429	1.80455	2.767293	1.998575788	2.029878952	2.002671813	2.459798429	2.009874565	1.674116771	2.522523	1.9289525	2.113803	2.05588634	2.192877333	2.08289525	2.09671125	1.989528	1.830598363	1.4203472	2.161580444	1.8942705	1.4094135	2.1268565	2.193682583	1.833373778	2.52607	2.396454667	1.81891805	2.206731667	2.374104	1.918653214	2.048178	2.17281925	1.817758	2.287913875	2.1169226	2.046318571	2.40139	1.954603	2.1796054	1.96277475	2.430645778	2.281569
C1QB	0.785557258	0.61122988	1.076399421	0.404384311	0.825408247	0.88521888	0.615717244	0.892666583	1.170289036	0.29717555	1.115132338	1.042563429	0.93201386	1.005772909	0.447549969	0.9996886	0.8299862	0.977757771	0.278436652	2.036091	0.893352682	0.60310282	0.645151076	1.262026886	0.730846565	0.4634207	0.70938745	0.765769625	0.9565818	0.65459868	0.674171467	0.61512195	0.506090525	0.335115167	0.507515263	0.73492166	0.685747022	0.65546685	0.34690465	0.849176417	0.401982117	0.644732656	0.5937687	0.981466435	0.57312985	0.6566331	1.219534822	0.65921015	0.695090433	0.737901938	0.352397646	0.762217598	1.1601836	0.680636586	0.957173725	0.2548413	0.662011073	0.697261608	1.005954933	0.858668086
C1QC	1.96117175	2.115516	2.270916421	1.5527	2.126035933	2.152117333	2.011879278	2.045620444	2.241244909	1.3698656	2.267361615	2.248756458	1.9960287	2.282926652	1.871594231	2.200871417	1.295059875	2.073221286	1.579585958	2.815718	1.88874735	1.741062671	1.913492875	2.223457143	1.872796319	2.225376429	2.215852167	1.99517525	1.731794	2.078166	1.754816333	1.49009025	1.67792575	1.409273667	1.883279	0.94035864	2.142101222	1.5545015	1.1423235	2.161635833	1.835393483	1.815639667	1.787097	2.044098933	1.954239167	1.874322333	2.201658111	1.780204	2.188295667	1.6691258	1.4954868	2.157694	2.1298384	1.820648743	2.030579929	1.676419	1.989897133	2.180383917	2.282940222	1.949291
C9	2.474710583	2.398543067	1.868768405	1.761754556	2.458474	1.94009925	1.886033056	2.248387889	2.672871091	1.8204346	1.691071692	2.488236542	1.7994028	1.775032609	2.225326308	1.77598525	1.85004775	2.623718286	2.069964208	2.691607	2.143660793	2.530365636	2.6036225	2.227108857	1.837578869	2.179781	2.2966105	2.07284525	2.667838	2.5652214	1.785736333	1.171642375	1.72387325	1.413615667	1.835077	2.1932936	1.965668889	2.323146	2.1249815	1.897589	1.748967	1.373860656	2.000478167	2.020799	2.703896167	1.960887667	2.088380444	1.995867807	2.600358667	1.940237	1.569749222	0.933871013	2.1287606	2.603734714	1.976239143	1.930663	1.873726273	1.731221775	2.151217667	2.469220714
APOH	3.928908667	3.736485	3.886114579	3.542717444	3.944665467	4.019690625	4.287047889	4.273557889	4.354979727	3.2469113	3.961857769	4.438553042	4.1383345	4.394656783	3.251906385	3.97379625	3.19153825	3.634833	3.985019875	2.270072	4.298128637	4.242926738	3.359851313	3.922527714	4.345251969	3.825654429	3.881834333	4.1651925	3.978882	4.0430528	4.309748	4.2399125	3.9914945	2.983965667	4.077077125	3.8677726	3.877842778	3.775469	3.6998375	4.236656	4.2753435	3.757666778	2.582795717	4.343495733	4.147802333	3.874407	3.449064556	4.133624857	3.755818667	3.86381675	3.729814111	3.633198875	4.0863844	3.888392571	4.315361071	3.531629	4.003754133	4.201194917	4.553760667	4.087239714
LRG1	3.160887583	3.387059733	2.640846063	3.125700222	2.9052532	2.824096817	2.638680111	3.006651389	3.193249636	2.6546016	2.040113654	3.236027625	2.6848926	3.024066043	3.246556308	2.51726875	2.862505	3.287867	2.541306958	2.065009	2.843010175	3.378935	3.437742	2.9211328	3.058623702	3.370615571	3.538258667	3.1426925	3.682514	3.7673892	3.320876333	2.38347925	2.90291475	3.277079667	3.043555125	2.74755548	3.067582556	3.237662	3.2330365	2.997427167	2.9805235	2.804011111	3.212351167	2.823657133	3.468738167	3.359959333	3.206687556	2.790745	4.127333667	3.098535	2.978049222	2.8056125	3.4098552	3.529494429	2.948114607	3.794303	3.477778933	3.182192583	3.204475333	2.817150571
FN1	6.50851775	6.208530933	6.182239053	5.71745	6.1291838	6.311126292	6.748360611	6.689962667	6.418757727	6.4718047	6.431960538	6.464573208	5.9219238	6.688769435	6.426712077	5.728189917	6.67341075	5.667884857	6.452778	6.795022	6.313497626	6.516937429	5.937670625	6.257795714	6.526470754	7.270695429	6.192254667	6.3989145	7.181794	6.7872894	5.936788	6.62278225	6.81175625	6.209745667	7.0350725	7.1212954	6.168079333	6.6579635	5.608296	6.825928667	6.45043425	6.753182556	7.106328333	6.6841148	6.254565833	5.800582333	6.524885111	6.304591143	6.008303667	6.288893375	6.291418444	6.98791225	5.9360786	6.194503143	5.757064929	4.421957	6.5341952	6.559539083	7.43986	6.804886286
RBP4	1.826310833	1.27030246	1.5752827	1.749942831	2.072070867	1.868786454	2.004884006	2.010122278	1.834245655	1.4288435	1.569229692	2.51360175	2.1464171	1.961246696	1.731227762	1.967409417	1.8465436	1.228562643	2.281916733	0.7936943	1.97773499	1.796296776	0.944269125	1.448438843	1.951773046	1.238990914	1.419323417	1.861034	0.7960546	1.25677458	1.679110333	1.722526	1.188424275	1.895978	1.619629163	1.84374812	1.919465667	1.6670915	1.8390795	1.9928415	1.683407725	1.476365833	2.635557167	1.75285866	1.45399915	1.3621715	1.430171067	1.571623214	1.732591667	2.071711	1.438238556	2.084376125	2.0221808	0.921314143	2.137190621	2.305861	1.939779667	1.710372167	2.280760222	1.659639514
AMBP	3.314033333	3.043799133	3.136431895	3.000937111	3.185414333	3.246093833	3.224246778	3.284263	3.319792545	3.0729794	3.015817538	3.525408667	3.4702004	3.310447565	3.432064385	3.392403583	3.163996125	2.890528	3.536998333	3.481628	3.609704215	3.635283619	3.473007375	3.315402714	3.554298585	3.223153857	3.090776333	3.37772575	3.079528	3.2699396	3.427093	3.55682675	3.11042625	3.306336	3.408906125	2.973586	3.497341556	3.236668	3.082338	3.398631333	3.55561775	3.438401778	3.5742905	3.437512733	3.139926667	3.454396333	3.367934667	3.389387571	3.34273	3.248689	3.400035889	3.325919875	3.1043646	2.968986714	3.469736464	2.634948	3.3937324	3.622732667	3.683739111	3.098653
ORM1	6.3536945	6.7941902	5.600622105	5.504913778	6.244658	6.453056958	5.871638333	6.247618722	5.834186	5.8741567	5.387005923	6.107117625	5.6616817	6.023768609	5.650657692	5.64846025	6.21393025	6.002147143	5.887196708	4.903219	5.987310265	5.966774643	5.723286	6.234812	5.737085662	5.846430857	6.346887833	6.1548925	6.992191	6.9798382	6.341053	5.650483	6.01942025	6.380940333	5.8193215	6.0292962	5.509624222	6.639078	6.0060445	6.160625167	5.974644333	5.601115333	6.280869167	6.718606733	6.222103667	6.333526667	5.904077111	5.465701714	7.219280333	6.08675575	5.908022889	5.997363125	6.2283056	6.237196429	6.44898425	6.704247	5.972569	5.868514583	7.189628111	6.269446571
AHSG	5.260952917	5.149047933	5.248095421	4.506882667	5.175728533	4.747721667	4.876448167	5.009485389	4.834075636	4.593188	5.186323846	5.200580458	4.8262274	5.152724957	4.854789769	5.1636565	4.635524375	4.477025286	5.371021458	4.012397	4.586812981	4.929604738	4.830091563	4.329615714	5.2222506	5.148999	5.000834	4.8240725	4.545424	4.9149004	5.287213667	5.45351825	5.32436025	5.089624	5.4023155	4.7665552	5.168299444	5.1431565	5.1832995	4.941792	5.13307225	5.210748222	5.011981833	5.3187046	4.663028167	5.342757333	4.940440778	4.878984857	4.820833333	5.2055345	4.904308889	4.9831735	4.7605624	4.508036286	5.458345964	5.293026	4.621242333	4.745742417	5.400916667	4.553331429
TTR	-1.579683639	-0.198332233	-0.027488198	-0.459035099	0.053413415	-0.420211238	-0.263888089	-0.214705349	0.376074415	-0.259633172	0.381475134	0.592062153	0.489877401	0.04301317	-0.017673622	0.052594933	-0.110522763	-1.959160829	0.716784425	0.7911453	0.161365265	-0.195561329	0.155914273	-0.120973986	0.12241869	0.372358229	-0.890902477	0.227576925	-1.415134	0.12539186	0.22388866	0.696335915	-0.15760392	0.472948867	-0.069489853	1.1119653	0.451834478	-0.2363514	-0.04294075	0.567450367	0.67298165	0.260839656	0.479413217	0.3103814	-1.06966955	-0.025347267	-0.71445993	0.162729541	-0.6306038	0.6168265	0.1077963	-0.031900291	-0.61468116	-0.289451786	0.380156178	-0.7103029	-0.166583138	-0.2234854	0.741165689	-0.529816586
ALB	11.12249167	11.23865293	11.15024579	11.40154444	10.90985133	11.036135	11.23505444	11.25341444	10.80326909	11.339205	10.80456308	11.05232458	10.950674	11.17953739	11.16157923	11.30354333	11.19625	10.82371571	11.34613667	10.91962	11.39840067	10.56211486	10.85477813	11.31449571	11.2205748	11.43066429	11.071055	10.9805075	11.58978	11.274286	11.37555	11.29332	11.155985	11.37194	11.21349	11.299886	10.99233444	11.464865	11.487475	11.330615	11.1275575	11.21520111	11.23853333	11.18905333	10.97687	11.33376667	11.33118111	11.22700286	11.09373333	11.44411375	11.26489889	11.0519425	11.189864	10.55268957	11.27936786	10.65089	11.03416867	11.065355	11.36341133	11.04467857
GC	5.866574333	5.832090333	5.670366632	5.978286222	5.865112	5.573324958	5.828201833	6.040806667	5.680624273	5.2623411	5.28019	5.974463583	5.6848773	5.801025	5.675850846	6.015453667	5.771469375	5.518208857	5.728252417	5.718701	5.943496733	5.482167881	5.710359	6.137320429	6.082184354	6.344586286	5.758346833	5.97268425	5.968879	6.0492776	6.167293333	6.043082	5.7317395	5.968974667	6.099609625	5.9276646	5.829317333	5.4952415	6.129692	5.911438333	5.9891805	5.827613556	5.986933833	5.746710333	5.671754833	5.614591333	5.862491	5.478497643	5.813144333	5.930609125	5.695028667	5.59878075	6.046115	5.464782571	6.067988357	5.874409	5.861201067	5.843487167	6.243552444	5.920017
PPBP	-0.483299475	-2.155749727	-1.741698479	-0.891617189	-1.322821167	-1.208110504	-1.599131657	-0.059709434	-2.6498848	-0.69606402	-2.455854615	-1.199083633	-3.298645	-1.070125391	-1.688876446	-2.45622245	-1.365935075	-1.533868973	-1.666795054	-3.954288	-1.938902272	-0.672580662	-1.310179376	-1.232451443	-1.289267752	-0.840008791	-2.3748434	-1.82918725	-0.6973771	-1.28548404	-0.155591147	-2.18606025	-1.268767475	-1.0283776	-0.143226153	-2.1808416	-1.229379678	-0.427715915	-1.197527	-2.322568183	-1.148275833	-1.221181402	-1.97337322	-0.423589375	-1.266683133	-2.516551667	-0.997678078	-1.10145465	-1.08728068	-2.767336625	-0.365631344	-1.429410538	-0.72746856	-1.020925216	-1.587385343	0.1905867	0.048445993	-1.2532316	-1.645476473	-2.311440229
PF4	-1.524840988	-2.829291733	-2.815456211	-1.690367978	-2.789782	-2.053239533	-2.342917611	-1.173238394	-2.546952273	-1.2782038	-3.855326231	-1.788740625	-4.7843483	-1.961168891	-3.199778769	-3.5978465	-3.407394375	-2.500245143	-2.771967579	-2.111174	-2.97967669	-1.898926706	-2.493654563	-2.053666286	-2.687037246	-1.844500943	-2.937582333	-2.999803	-1.568185	-2.2913052	-0.849867333	-3.53679875	-3.1800935	-2.409642667	-0.741686413	-4.3190796	-3.002882111	-1.0645927	-2.133422	-3.646052167	-2.756929617	-1.871817578	-3.8232025	-1.646720461	-2.700802167	-3.800152	-1.9161482	-2.332640786	-1.704335667	-3.934123375	-1.513694978	-2.86506625	-1.28412736	-2.105002243	-2.947447586	-1.003558	-0.926884798	-2.165734117	-3.271075667	-3.182770571
TFRC	-2.457855083	-1.442823027	-2.132165842	-2.532414	-1.812181107	-2.569698625	-3.055053	-1.89773065	-2.32557	-2.253674	-2.548052846	-1.659684771	-2.4912947	-2.614208443	-2.392085077	-2.509012	-2.629098125	-2.311793429	-2.251231208	-1.360556	-2.607267832	-2.720825929	-2.037863375	-2.949508857	-1.692188478	-1.842815286	-1.6543827	-2.137904125	-2.382468	-2.5109502	-2.636684667	-2.25565725	-2.47741675	-2.632297	-0.836534975	-2.9566276	-2.472357478	-2.002566	-2.6330445	-1.958032667	-2.140628333	-2.893522044	-2.2630385	-3.1076696	-2.116391667	-2.651756	-1.605546822	-3.242876929	-2.102801	-2.180565	-2.757774889	-2.291579375	-2.7514576	-2.360106143	-2.791497311	-2.348165	-3.213362467	-2.441783	-2.262720222	-2.741826429
TF	9.3413845	9.0956178	9.335437	9.241820333	9.519709933	9.478729	9.274623722	9.512313	9.392244455	9.2803306	9.365629	9.842198667	9.0847223	9.044359652	9.504269923	9.352007417	9.267532125	9.179958857	9.463366167	9.39891	9.463279068	9.314347405	9.339583188	9.399751286	9.868485477	9.324440429	9.143163167	9.4524225	9.293715	9.5388018	9.554521667	9.3679085	9.22829675	9.389427333	9.71633725	9.7354264	9.319461	9.1777695	9.309456	9.399851667	9.1675385	9.536416222	9.680386167	9.5654774	9.2983665	9.739130333	9.711367222	9.130293714	9.357504667	9.743023	9.174814111	9.371543625	9.5215192	8.945915857	9.69465475	9.693116	9.2561024	9.241256	9.500547778	9.354695857
HPX	6.724853	6.4097552	6.557615737	6.465358111	6.915139333	6.908220792	6.534937667	6.823720333	6.69577	6.3128348	6.434335769	7.037442083	6.3312762	6.651145217	6.704577846	6.345682333	6.507762375	6.460529286	6.55713125	6.070253	6.832408457	6.578655119	6.572297625	6.856183143	6.798951246	6.051952714	6.420878167	6.65782325	6.682369	6.3991874	6.542232333	6.30792925	6.429156	6.447441	6.455733625	6.651036	6.616672222	6.151148	6.4864005	6.775631	6.320258167	6.608980778	6.800577667	6.708585733	6.708489167	6.706747333	6.709803556	6.455262857	6.693823667	6.69494175	6.350069222	6.660010625	6.8544174	6.445647429	6.830275036	6.174545	6.812828533	6.788139167	6.804978	6.786734857
F11	-1.3058769	-1.393365593	-1.943355221	-1.388302878	-1.493816467	-1.808602917	-1.594138556	-1.3588315	-1.711164782	-1.8499429	-1.623079738	-1.161416454	-1.40887555	-0.961534342	-1.665356385	-1.560474757	-2.70725825	-1.159296343	-1.533539004	-1.536447	-2.352633356	-1.176587969	-1.675077513	-1.199982857	-1.511342789	-4.751956143	-1.420518383	-1.62855625	-1.98453	-1.610536	-1.603986333	-1.217328425	-1.6285275	-1.597895	-1.72149125	-2.0430844	-2.224228333	-1.5929335	-1.7768135	-1.745377833	-1.653239292	-1.572843078	-2.103633167	-2.0218493	-1.845993333	-1.965023333	-1.727988789	-1.928884336	-2.913645	-2.158814875	-1.932518222	-1.869007425	-0.89100322	-2.193083429	-1.922120214	-3.491284	-1.20315008	-1.8453455	-1.018899589	-1.774666571
