	ZJTKAE3	ZJXC41N	ZK112BX	ZK4CK8Y	ZKFV71L	ZKVR426 	ZL63I8R 	ZL9BTWF	ZLGD9M0	ZLPRB8E 	ZLPZS0H	ZLTUJTN	ZLYEM2C	ZLZNCLZ	ZLZQMEV	ZM7JY3G	ZM8YXDM	ZMBH10Z	ZMBVNFM	ZMS5W76	ZN0JE53	ZN3TBJM	ZN9YTFN	ZNDMXI3	ZOZOW1T	ZPDABJR 	ZPEL6L3	ZPF36E2	ZPMBHPS	ZQFL1P3 	ZQMVU4Q	ZR47VBL	ZRB0F6P 	ZRLZ98T	ZTJ7L7Z 	ZTLIFAS	ZTMFN3O	ZTTL3YH	ZTUO1AO	ZTXY83G	ZUL3S6O	ZUPAQVU	ZV14SIB	ZVBQY1N	ZVC4YUG	ZVGW5FI	ZVM4N7A	ZVNCGHM	ZVTCAK9	ZW61YGW 	ZWCZHHY 	ZWFDEY0 	ZWHMV5E	ZWLGEWL	ZX52KVK	ZXSO14L	ZY1ZKJY	ZY7IW45	ZY9XQJP	ZYXQKWY
MBL2	-4.775444417	-5.692579067	-4.244177421	-5.069650889	-1.5768658	-4.888913	-2.184406	-4.6233255	-4.960884182	-4.8469793	-5.003353385	-4.304255542	-3.7752353	-2.649249113	-2.557692692	-2.242134142	-4.576254625	-2.751953857	-3.190820625	-4.731164	-4.371342553	-4.872557571	-3.37527375	-4.545314	-5.070304738	-0.896932186	-3.575466667	-6.05690975	-5.174655	-2.6161558	-2.460105333	-4.653919	-1.77253025	-6.306211667	-6.4444345	-2.7754944	-3.542271	-3.07126	-4.1492345	-4.832841833	-4.610028417	-4.131412667	-3.742281333	-3.696201667	-4.460453167	-4.267148333	-3.977341444	-2.239736293	-3.388243667	-2.973955875	-4.457133444	-3.426659	-4.8479816	-4.917494857	-4.625116821	-2.893494	-3.7445704	-5.4779185	-3.833402667	-4.461097714
MTHFD1	-5.718948108	-4.8358824	-2.814126437	-5.693646489	-3.936999247	-3.012267917	-4.560650889	-3.544593667	-3.694507182	-5.07660192	-3.120346169	-2.439581625	-3.62070676	-3.910187352	-2.836968277	-3.833940083	-5.279465125	-3.688643571	-3.630243842	-6.230446	-4.045226477	-3.974693452	-3.4527057	-4.615157857	-3.25948054	-6.586809429	-3.032864167	-4.07895075	-5.069072	-3.70023398	-7.604136667	-4.5990995	-4.8260305	-6.275148667	-3.886224625	-5.7928616	-3.641917556	-5.1802655	-4.227546	-3.830770333	-4.432995583	-3.275779444	-4.577072833	-4.05447294	-3.091021	-5.085725	-4.048180111	-3.826681571	-5.506509333	-2.82040575	-4.38979	-4.52788875	-4.482821	-4.178873857	-4.739659893	-3.575678	-4.162424267	-4.63119025	-3.500008867	-3.492573143
CETP	-4.3937995	-4.7165896	-3.925284684	-4.063794444	-3.964300467	-4.04158725	-3.900363722	-4.190799611	-4.177997455	-4.2475825	-3.931241154	-3.682481417	-3.6993493	-4.082437391	-4.441720077	-4.162115417	-4.908738125	-3.698793	-4.474032167	-3.963612	-4.144776097	-4.508394452	-3.7901815	-4.127806286	-4.358027708	-5.691006571	-4.3882155	-4.25475775	-5.137701	-4.5167648	-5.747747	-4.8836885	-4.8583615	-4.900515333	-4.943795875	-4.1479764	-3.861150111	-4.332651	-3.601065	-4.309613333	-4.402897583	-4.042834333	-4.486519833	-4.953443133	-3.739964833	-3.932795	-4.345682222	-4.239235071	-4.397212	-5.112351	-4.781734556	-4.317106625	-4.3795794	-3.946341143	-4.195228	-4.768809	-4.411122	-4.588139333	-4.224267333	-4.081396714
IGF2R	-4.187025667	-4.685503667	-5.674055632	-3.465266222	-5.235635	-4.567169667	-3.964808222	-4.429812944	-4.235933273	-4.3373178	-5.091656385	-4.341841667	-4.28566781	-4.520190217	-4.227663	-4.406381333	-4.09002625	-3.663884286	-3.849205808	-0.8310053	-3.955201642	-4.481100886	-4.3648145	-4.214654714	-4.288753738	-4.018657571	-3.781607833	-4.745694	-7.090281	-5.0321692	-4.28223	-4.7990735	-4.2634005	-3.421845	-4.5282685	-3.5136888	-4.099642333	-3.3099275	-3.458079	-4.470046833	-4.21355425	-4.134039111	-4.696275167	-4.089366967	-5.2982185	-4.385023667	-3.839930778	-4.079265286	-3.371305667	-4.681026	-4.139322444	-4.240716875	-5.2342634	-4.429449857	-4.108601143	-2.837827	-4.243223133	-4.06936825	-4.227639	-5.123321571
COL6A3	-5.42002	-5.540407267	-5.241677842	-5.465461889	-4.364431733	-5.138196542	-5.327385556	-5.085605167	-4.871358273	-5.4419952	-5.173405154	-5.256296375	-4.5946355	-5.396348696	-4.391474077	-5.408588583	-4.87320275	-4.979027286	-4.845875375	-7.126935	-5.276273973	-5.22545081	-4.218799813	-4.758522429	-4.4579644	-3.592181857	-5.016279833	-4.62262575	-5.349845	-5.0276282	-4.696262667	-4.72593025	-6.097574	-4.316387667	-4.96974425	-4.6754308	-4.304639	-5.6733945	-4.252843	-4.104515667	-4.52241425	-4.565863889	-4.657050667	-4.9304334	-5.041175333	-5.547084333	-5.252785778	-5.279746857	-4.142859667	-3.880553875	-4.934795111	-5.0729035	-5.5302018	-5.484971143	-5.114311179	-3.376649	-5.454954533	-5.30422825	-4.931680556	-5.427491571
F5	-0.14494714	-0.774583244	-0.298764711	-0.495812389	-0.036946397	-0.414924949	-0.521296316	0.279666169	-1.392400867	-0.61250117	-0.197512685	-0.912160113	-0.265816711	-0.499692253	-0.518333623	0.260513257	-0.102765414	0.2094635	0.281255772	0.4392607	-0.342824971	-0.306450527	-0.065713569	-0.0701534	0.068836957	-0.216071686	-0.206356795	-0.1587182	-0.4097003	-0.07318396	-0.3355642	0.08645265	-0.411700778	-0.127335599	0.132280503	-0.862713528	0.317122805	-0.2362941	-0.8986488	-0.39268667	-0.733522291	0.148971764	0.141804333	-0.535139719	-0.319957418	-0.230106167	-0.228682787	0.067339336	0.058740003	-0.09648157	0.386346388	-0.630266098	-0.39586536	-0.659610237	-0.707856779	0.5319126	-0.715606648	-0.979289879	0.286182378	-0.541724986
MYH7	-3.063603083	-3.326953	-3.136915158	-2.897641111	-2.472048267	-4.049103583	-3.381609944	-3.9739135	-4.251877818	-3.5243037	-3.660974154	-3.750701	-3.76258	-3.935218739	-4.242349077	-3.774550833	-4.041642375	-3.714518286	-4.21397875	-3.306751	-3.438843668	-4.079559238	-4.203020188	-3.717882429	-4.573046508	-5.728681571	-4.047030667	-4.3555455	-3.60826	-4.5821602	-4.199159333	-6.10919825	-6.24258325	-3.310864	-4.0788515	-4.6917206	-4.274186	-1.8425585	-2.8277165	-3.122935	-4.440275667	-4.283404667	-4.051170833	-4.431130933	-4.7954095	-2.869546667	-3.359622333	-3.997815714	-3.633153333	-4.113259375	-4.007781333	-4.1331365	-3.881941	-4.757127143	-4.136322643	-4.20977	-3.293629267	-4.182009	-3.717337444	-3.582566143
NCAM1	-3.141188017	-1.968536953	-2.581271921	-4.780933556	-1.4523562	-1.967342462	-2.631544096	-2.173229428	-1.691175939	-4.206489821	-1.149462769	-1.888234007	-2.61873612	-1.638001222	-1.968356662	-2.680231607	-2.448612663	-2.830822	-1.616017158	-2.636975	-1.662185523	-1.724499116	-2.337687775	-2.8658166	-1.941599674	-3.4053821	-1.933882963	-1.213969975	-4.124873	-3.7017202	-2.661253033	-2.538196425	-2.576972225	-4.891164667	-2.591859838	-2.97073618	-1.879914526	-2.117648	-3.325971	-2.5182708	-2.713624833	-1.324257107	-2.006460683	-2.106193701	-1.472636707	-2.386234333	-2.921538556	-2.251508271	-3.548117	-2.899270788	-3.542193938	-2.33973615	-2.65892852	-3.321255861	-2.25553776	-2.451862	-1.745974916	-1.798242517	-1.887379467	-1.632046006
C6	2.227128667	2.115130333	1.9564231	1.894780333	2.126932867	2.190092583	1.198129733	1.997974744	1.703636818	2.1604034	1.433942285	2.072916333	1.9910887	1.976780957	2.199420462	1.76124845	2.051245	1.980471429	2.010549583	1.194013	2.148042581	1.767679976	2.236683688	2.306169143	2.142534815	2.077475143	1.673533	1.7215525	1.586664	2.1447116	1.952479667	2.1458735	1.967699	2.013987	1.924392625	2.4437996	2.198091556	2.174248	1.7591925	1.837723	1.504112633	1.573010856	1.994334833	1.657754393	1.816156683	-0.051030567	1.513348522	1.852132357	1.944136333	1.94115	1.838681444	2.551031875	1.7067788	2.007801714	1.851733393	0.5739712	1.754159533	1.806895417	2.477020889	1.901941286
LCP1	-3.449931667	-2.37715168	-3.496453605	-2.076946556	-3.798270333	-4.118531729	-4.414211167	-2.480865139	-4.206831536	-3.19791029	-4.364054615	-4.317109954	-2.8888195	-2.980050196	-3.591386108	-3.2061321	-1.109145711	-2.928544686	-3.753133892	-1.4714	-3.105983054	-4.002505424	-3.397524625	-3.347469014	-3.263923822	-0.972387133	-3.4954605	-2.350245	-3.025405	-1.953318252	-1.624214967	-2.11826845	-2.2371065	-2.6477732	-1.89829005	-0.8058538	-2.899777942	-3.086345	-1.1297623	-2.690742717	-3.266266	-4.332596556	-2.6688145	-2.81946148	-3.267498853	-3.15786	-3.467087744	-3.108430443	-3.2801026	-2.691469763	-1.892944867	-3.37315625	-3.35621874	-3.331999857	-2.721605978	-3.863312	-2.967388593	-2.640020667	-2.863577978	-3.936564571
